Estado,Ano,Sorotipo,Casos
Amazonas,2014-06,4.0,42
Amazonas,2014-06,Sem informação,10957
Amazonas,2015-06,1.0,3
Amazonas,2015-06,4.0,9
Amazonas,2015-06,Sem informação,7824
Amazonas,2016-06,1.0,1
Amazonas,2016-06,3.0,3
Amazonas,2016-06,4.0,4
Amazonas,2016-06,Sem informação,15309
Amazonas,2017-06,1.0,26
Amazonas,2017-06,2.0,1
Amazonas,2017-06,Sem informação,8284
Amazonas,2018-06,1.0,2
Amazonas,2018-06,Sem informação,4685
Amazonas,2019-06,1.0,43
Amazonas,2019-06,2.0,3
Amazonas,2019-06,Sem informação,7694
Amazonas,2020-06,1.0,21
Amazonas,2020-06,2.0,1
Amazonas,2020-06,Sem informação,10484
Amazonas,2021-06,1.0,62
Amazonas,2021-06,2.0,3
Amazonas,2021-06,Sem informação,14807
Amazonas,2022-06,1.0,208
Amazonas,2022-06,2.0,38
Amazonas,2022-06,Sem informação,5116
Amazonas,2023-06,1.0,98
Amazonas,2023-06,2.0,520
Amazonas,2023-06,3.0,1
Amazonas,2023-06,Sem informação,5741
Amazonas,2024-06,1.0,11
Amazonas,2024-06,2.0,263
Amazonas,2024-06,Sem informação,8839
Bahia,2007-06,1.0,35
Bahia,2007-06,2.0,4
Bahia,2007-06,3.0,23
Bahia,2007-06,4.0,2
Bahia,2007-06,Sem informação,14734
Bahia,2009-06,1.0,96
Bahia,2009-06,2.0,109
Bahia,2009-06,3.0,6
Bahia,2009-06,4.0,10
Bahia,2009-06,Sem informação,123432
Bahia,2010-06,1.0,404
Bahia,2010-06,2.0,187
Bahia,2010-06,3.0,8
Bahia,2010-06,4.0,33
Bahia,2010-06,Sem informação,61529
Bahia,2011-06,1.0,396
Bahia,2011-06,2.0,40
Bahia,2011-06,3.0,1
Bahia,2011-06,4.0,94
Bahia,2011-06,Sem informação,56758
Bahia,2012-06,1.0,233
Bahia,2012-06,2.0,10
Bahia,2012-06,3.0,1
Bahia,2012-06,4.0,243
Bahia,2012-06,Sem informação,74249
Bahia,2013-06,1.0,238
Bahia,2013-06,2.0,8
Bahia,2013-06,3.0,5
Bahia,2013-06,4.0,159
Bahia,2013-06,Sem informação,85922
Bahia,2014-06,1.0,43
Bahia,2014-06,2.0,4
Bahia,2014-06,4.0,293
Bahia,2014-06,Sem informação,24567
Bahia,2015-06,1.0,63
Bahia,2015-06,2.0,2
Bahia,2015-06,4.0,4
Bahia,2015-06,Sem informação,79263
Bahia,2016-06,1.0,37
Bahia,2016-06,2.0,1
Bahia,2016-06,3.0,2
Bahia,2016-06,4.0,3
Bahia,2016-06,Sem informação,83397
Bahia,2017-06,1.0,17
Bahia,2017-06,2.0,4
Bahia,2017-06,4.0,6
Bahia,2017-06,Sem informação,15441
Bahia,2018-06,1.0,64
Bahia,2018-06,2.0,8
Bahia,2018-06,Sem informação,14103
Bahia,2019-06,1.0,290
Bahia,2019-06,2.0,59
Bahia,2019-06,4.0,2
Bahia,2019-06,Sem informação,84465
Bahia,2020-06,1.0,216
Bahia,2020-06,2.0,11
Bahia,2020-06,4.0,4
Bahia,2020-06,Sem informação,106981
Bahia,2021-06,1.0,30
Bahia,2021-06,3.0,2
Bahia,2021-06,Sem informação,36796
Bahia,2022-06,1.0,120
Bahia,2022-06,2.0,24
Bahia,2022-06,4.0,1
Bahia,2022-06,Sem informação,35611
Bahia,2023-06,1.0,896
Bahia,2023-06,2.0,1100
Bahia,2023-06,3.0,1
Bahia,2023-06,Sem informação,45486
Bahia,2024-06,1.0,747
Bahia,2024-06,2.0,892
Bahia,2024-06,4.0,3
Bahia,2024-06,Sem informação,113720
Ceará,2007-06,1.0,318
Ceará,2007-06,2.0,43
Ceará,2007-06,3.0,4
Ceará,2007-06,4.0,13
Ceará,2007-06,Sem informação,50999
Ceará,2009-06,1.0,7
Ceará,2009-06,2.0,1
Ceará,2009-06,4.0,3
Ceará,2009-06,Sem informação,20601
Ceará,2010-06,1.0,84
Ceará,2010-06,2.0,19
Ceará,2010-06,3.0,1
Ceará,2010-06,4.0,5
Ceará,2010-06,Sem informação,34755
Ceará,2011-06,1.0,204
Ceará,2011-06,2.0,7
Ceará,2011-06,3.0,2
Ceará,2011-06,4.0,8
Ceará,2011-06,Sem informação,91102
Ceará,2012-06,1.0,27
Ceará,2012-06,4.0,44
Ceará,2012-06,Sem informação,72700
Ceará,2013-06,1.0,30
Ceará,2013-06,2.0,2
Ceará,2013-06,3.0,2
Ceará,2013-06,4.0,39
Ceará,2013-06,Sem informação,56401
Ceará,2014-06,1.0,56
Ceará,2014-06,3.0,3
Ceará,2014-06,4.0,23
Ceará,2014-06,Sem informação,41827
Ceará,2015-06,1.0,270
Ceará,2015-06,3.0,2
Ceará,2015-06,4.0,5
Ceará,2015-06,Sem informação,105609
Ceará,2016-06,1.0,29
Ceará,2016-06,Sem informação,100587
Ceará,2017-06,1.0,7
Ceará,2017-06,Sem informação,81355
Ceará,2018-06,1.0,12
Ceará,2018-06,Sem informação,15188
Ceará,2019-06,1.0,65
Ceará,2019-06,2.0,32
Ceará,2019-06,Sem informação,33263
Ceará,2020-06,1.0,21
Ceará,2020-06,2.0,45
Ceará,2020-06,Sem informação,40825
Ceará,2021-06,1.0,6
Ceará,2021-06,2.0,320
Ceará,2021-06,Sem informação,68935
Ceará,2022-06,1.0,54
Ceará,2022-06,2.0,99
Ceará,2022-06,Sem informação,42597
Ceará,2023-06,1.0,149
Ceará,2023-06,2.0,5
Ceará,2023-06,4.0,1
Ceará,2023-06,Sem informação,14321
Ceará,2024-06,1.0,6
Ceará,2024-06,2.0,4
Ceará,2024-06,Sem informação,7077
Distrito Federal,2007-06,1.0,10
Distrito Federal,2007-06,2.0,2
Distrito Federal,2007-06,3.0,9
Distrito Federal,2007-06,4.0,3
Distrito Federal,2007-06,Sem informação,2357
Distrito Federal,2009-06,1.0,2
Distrito Federal,2009-06,4.0,1
Distrito Federal,2009-06,Sem informação,1939
Distrito Federal,2010-06,1.0,44
Distrito Federal,2010-06,2.0,3
Distrito Federal,2010-06,3.0,3
Distrito Federal,2010-06,4.0,3
Distrito Federal,2010-06,Sem informação,20469
Distrito Federal,2011-06,1.0,4
Distrito Federal,2011-06,Sem informação,6945
Distrito Federal,2012-06,1.0,8
Distrito Federal,2012-06,4.0,5
Distrito Federal,2012-06,Sem informação,3803
Distrito Federal,2013-06,1.0,123
Distrito Federal,2013-06,4.0,20
Distrito Federal,2013-06,Sem informação,26582
Distrito Federal,2014-06,1.0,85
Distrito Federal,2014-06,2.0,1
