Estado,UF,Período2,Período,Ano,Tipo,Quantidade
Santa Catarina,SC,2023-04,Abr 2023,2023,DENV2:desconhecido,1
Santa Catarina,SC,2023-05,Mai 2023,2023,DENV1:V,12
Santa Catarina,SC,2023-05,Mai 2023,2023,DENV2:II-Cosmopolitan,3
Santa Catarina,SC,2023-06,Jun 2023,2023,DENV1:V,5
Santa Catarina,SC,2023-10,Out 2023,2023,DENV1:V,1
Santa Catarina,SC,2023-10,Out 2023,2023,DENV3:III,1
Santa Catarina,SC,2023-11,Nov 2023,2023,DENV1:V,7
Santa Catarina,SC,2023-11,Nov 2023,2023,DENV2:II-Cosmopolitan,1
Santa Catarina,SC,2023-12,Dez 2023,2023,DENV1:V,4
Santa Catarina,SC,2023-12,Dez 2023,2023,DENV2:II-Cosmopolitan,2
Sergipe,SE,2022-06,Jun 2022,2022,DENV2:II-Cosmopolitan,10
Sergipe,SE,2022-07,Jul 2022,2022,DENV2:II-Cosmopolitan,3
Sergipe,SE,2023-03,Mar 2023,2023,DENV1:V,1
Sergipe,SE,2023-03,Mar 2023,2023,DENV2:II-Cosmopolitan,2
Sergipe,SE,2023-04,Abr 2023,2023,DENV1:V,2
Sergipe,SE,2023-04,Abr 2023,2023,DENV2:II-Cosmopolitan,2
Sergipe,SE,2023-05,Mai 2023,2023,DENV1:V,1
Sergipe,SE,2023-05,Mai 2023,2023,DENV2:II-Cosmopolitan,1
Sergipe,SE,2023-05,Mai 2023,2023,DENV2:III-Asian-American,1
Sergipe,SE,2023-06,Jun 2023,2023,DENV1:V,2
Sergipe,SE,2023-06,Jun 2023,2023,DENV2:II-Cosmopolitan,3
Sergipe,SE,2023-07,Jul 2023,2023,DENV1:V,1
Sergipe,SE,2023-07,Jul 2023,2023,DENV2:II-Cosmopolitan,6
Sergipe,SE,2023-08,Ago 2023,2023,DENV1:V,1
São Paulo,SP,2010-02,Fev 2010,2010,DENV2:III-Asian-American,23
São Paulo,SP,2010-02,Fev 2010,2010,DENV2:desconhecido,2
São Paulo,SP,2010-03,Mar 2010,2010,DENV2:III-Asian-American,4
São Paulo,SP,2010-04,Abr 2010,2010,DENV2:III-Asian-American,2
São Paulo,SP,2012-03,Mar 2012,2012,DENV1:V,1
São Paulo,SP,2012-06,Jun 2012,2012,DENV4:II,2
São Paulo,SP,2013-01,Jan 2013,2013,DENV1:V,2
São Paulo,SP,2014-10,Out 2014,2014,DENV3:V,1
São Paulo,SP,2015-04,Abr 2015,2015,DENV3:V,1
São Paulo,SP,2016-01,Jan 2016,2016,DENV1:V,1
São Paulo,SP,2016-01,Jan 2016,2016,DENV1:desconhecido,1
São Paulo,SP,2016-01,Jan 2016,2016,DENV2:III-Asian-American,1
São Paulo,SP,2016-02,Fev 2016,2016,DENV1:V,2
São Paulo,SP,2016-02,Fev 2016,2016,DENV2:III-Asian-American,1
São Paulo,SP,2016-03,Mar 2016,2016,DENV2:III-Asian-American,1
São Paulo,SP,2017-05,Mai 2017,2017,DENV1:V,1
São Paulo,SP,2018-02,Fev 2018,2018,DENV2:III-Asian-American,1
São Paulo,SP,2018-04,Abr 2018,2018,DENV2:III-Asian-American,1
São Paulo,SP,2018-10,Out 2018,2018,DENV1:V,1
São Paulo,SP,2018-11,Nov 2018,2018,DENV1:V,2
São Paulo,SP,2019-01,Jan 2019,2019,DENV2:III-Asian-American,4
São Paulo,SP,2019-03,Mar 2019,2019,DENV1:V,2
São Paulo,SP,2019-03,Mar 2019,2019,DENV2:III-Asian-American,1
São Paulo,SP,2019-04,Abr 2019,2019,DENV1:V,1
São Paulo,SP,2019-04,Abr 2019,2019,DENV2:III-Asian-American,6
São Paulo,SP,2019-05,Mai 2019,2019,DENV2:III-Asian-American,1
São Paulo,SP,2019-06,Jun 2019,2019,DENV1:V,1
São Paulo,SP,2019-06,Jun 2019,2019,DENV2:III-Asian-American,2
São Paulo,SP,2019-07,Jul 2019,2019,DENV2:III-Asian-American,2
São Paulo,SP,2019-09,Set 2019,2019,DENV2:III-Asian-American,2
São Paulo,SP,2020-01,Jan 2020,2020,DENV1:V,3
São Paulo,SP,2020-01,Jan 2020,2020,DENV2:III-Asian-American,7
São Paulo,SP,2020-02,Fev 2020,2020,DENV1:V,2
São Paulo,SP,2020-02,Fev 2020,2020,DENV2:III-Asian-American,6
São Paulo,SP,2020-03,Mar 2020,2020,DENV1:V,2
São Paulo,SP,2020-03,Mar 2020,2020,DENV2:III-Asian-American,2
São Paulo,SP,2020-04,Abr 2020,2020,DENV1:V,1
São Paulo,SP,2020-04,Abr 2020,2020,DENV2:III-Asian-American,1
São Paulo,SP,2021-01,Jan 2021,2021,DENV1:V,1
São Paulo,SP,2021-01,Jan 2021,2021,DENV2:III-Asian-American,2
São Paulo,SP,2021-02,Fev 2021,2021,DENV1:V,3
São Paulo,SP,2021-02,Fev 2021,2021,DENV2:III-Asian-American,4
São Paulo,SP,2021-03,Mar 2021,2021,DENV1:V,26
São Paulo,SP,2021-03,Mar 2021,2021,DENV2:III-Asian-American,10
São Paulo,SP,2021-04,Abr 2021,2021,DENV1:V,63
São Paulo,SP,2021-04,Abr 2021,2021,DENV2:III-Asian-American,16
São Paulo,SP,2021-05,Mai 2021,2021,DENV1:V,12
São Paulo,SP,2021-05,Mai 2021,2021,DENV2:III-Asian-American,8
São Paulo,SP,2021-06,Jun 2021,2021,DENV1:V,4
São Paulo,SP,2021-06,Jun 2021,2021,DENV2:III-Asian-American,2
São Paulo,SP,2022-01,Jan 2022,2022,DENV1:V,3
São Paulo,SP,2022-01,Jan 2022,2022,DENV2:II-Cosmopolitan,1
São Paulo,SP,2022-02,Fev 2022,2022,DENV1:V,17
São Paulo,SP,2022-02,Fev 2022,2022,DENV2:II-Cosmopolitan,1
São Paulo,SP,2022-03,Mar 2022,2022,DENV1:V,56
São Paulo,SP,2022-03,Mar 2022,2022,DENV2:II-Cosmopolitan,5
São Paulo,SP,2022-03,Mar 2022,2022,DENV2:III-Asian-American,6
São Paulo,SP,2022-04,Abr 2022,2022,DENV1:V,76
São Paulo,SP,2022-04,Abr 2022,2022,DENV2:II-Cosmopolitan,1
São Paulo,SP,2022-04,Abr 2022,2022,DENV2:III-Asian-American,5
São Paulo,SP,2022-05,Mai 2022,2022,DENV1:V,28
São Paulo,SP,2022-05,Mai 2022,2022,DENV2:III-Asian-American,1
São Paulo,SP,2023-01,Jan 2023,2023,DENV1:V,31
São Paulo,SP,2023-01,Jan 2023,2023,DENV2:II-Cosmopolitan,2
São Paulo,SP,2023-01,Jan 2023,2023,DENV2:III-Asian-American,1
São Paulo,SP,2023-02,Fev 2023,2023,DENV1:V,50
São Paulo,SP,2023-02,Fev 2023,2023,DENV2:II-Cosmopolitan,1
São Paulo,SP,2023-02,Fev 2023,2023,DENV2:III-Asian-American,1
São Paulo,SP,2023-03,Mar 2023,2023,DENV1:V,80
São Paulo,SP,2023-03,Mar 2023,2023,DENV2:II-Cosmopolitan,7
São Paulo,SP,2023-03,Mar 2023,2023,DENV2:III-Asian-American,1
São Paulo,SP,2023-04,Abr 2023,2023,DENV1:V,49
São Paulo,SP,2023-04,Abr 2023,2023,DENV2:II-Cosmopolitan,3
São Paulo,SP,2023-05,Mai 2023,2023,DENV1:V,38
São Paulo,SP,2023-05,Mai 2023,2023,DENV2:II-Cosmopolitan,7
São Paulo,SP,2023-06,Jun 2023,2023,DENV1:V,10
São Paulo,SP,2023-06,Jun 2023,2023,DENV2:II-Cosmopolitan,1
São Paulo,SP,2023-07,Jul 2023,2023,DENV1:V,3
São Paulo,SP,2023-07,Jul 2023,2023,DENV2:II-Cosmopolitan,1
São Paulo,SP,2023-08,Ago 2023,2023,DENV1:V,7
São Paulo,SP,2023-08,Ago 2023,2023,DENV2:II-Cosmopolitan,1
São Paulo,SP,2023-08,Ago 2023,2023,DENV2:III-Asian-American,2
São Paulo,SP,2023-09,Set 2023,2023,DENV1:V,3
São Paulo,SP,2023-09,Set 2023,2023,DENV2:II-Cosmopolitan,1
São Paulo,SP,2023-10,Out 2023,2023,DENV1:V,6
São Paulo,SP,2023-10,Out 2023,2023,DENV2:II-Cosmopolitan,2
São Paulo,SP,2023-11,Nov 2023,2023,DENV1:V,11
São Paulo,SP,2023-11,Nov 2023,2023,DENV2:II-Cosmopolitan,1
São Paulo,SP,2023-11,Nov 2023,2023,DENV3:III,4
São Paulo,SP,2023-12,Dez 2023,2023,DENV1:V,17
São Paulo,SP,2023-12,Dez 2023,2023,DENV2:II-Cosmopolitan,7
São Paulo,SP,2023-12,Dez 2023,2023,DENV3:III,4
São Paulo,SP,2024-01,Jan 2024,2024,DENV1:V,5
São Paulo,SP,2024-01,Jan 2024,2024,DENV3:III,1
Tocantins,TO,2021-06,Jun 2021,2021,DENV2:III-Asian-American,2
Tocantins,TO,2021-11,Nov 2021,2021,DENV1:V,24
Tocantins,TO,2021-12,Dez 2021,2021,DENV1:V,17
Tocantins,TO,2021-12,Dez 2021,2021,DENV2:III-Asian-American,2
Tocantins,TO,2022-01,Jan 2022,2022,DENV1:V,2
Tocantins,TO,2022-02,Fev 2022,2022,DENV1:V,2
Tocantins,TO,2022-03,Mar 2022,2022,DENV1:V,8
Tocantins,TO,2022-06,Jun 2022,2022,DENV1:V,3
Tocantins,TO,2022-07,Jul 2022,2022,DENV1:V,2
Tocantins,TO,2023-03,Mar 2023,2023,DENV1:V,1
Tocantins,TO,2023-03,Mar 2023,2023,DENV2:II-Cosmopolitan,1
Tocantins,TO,2023-04,Abr 2023,2023,DENV1:V,1
Tocantins,TO,2023-05,Mai 2023,2023,DENV1:V,3
Tocantins,TO,2023-06,Jun 2023,2023,DENV1:V,4
Tocantins,TO,2023-06,Jun 2023,2023,DENV2:II-Cosmopolitan,1
