Estado,Período,Sorotipo,Casos,Ano
Acre,2007-01,Sem informacao,268,2007-06
Distrito Federal,2007-01,Sem informacao,166,2007-06
Distrito Federal,2007-01,1.0,4,2007-06
Rio Grande do Sul,2007-01,Sem informacao,35,2007-06
Rio de Janeiro,2007-01,3.0,16,2007-06
Rio de Janeiro,2007-01,4.0,1,2007-06
Rio de Janeiro,2007-01,Sem informacao,2460,2007-06
Ceará,2007-01,Sem informacao,2187,2007-06
Ceará,2007-01,4.0,2,2007-06
Ceará,2007-01,1.0,4,2007-06
Rondônia,2007-01,Sem informacao,342,2007-06
Roraima,2007-01,2.0,13,2007-06
Roraima,2007-01,Sem informacao,356,2007-06
Bahia,2007-01,Sem informacao,872,2007-06
Bahia,2007-01,3.0,7,2007-06
Minas Gerais,2007-01,3.0,1,2007-06
Bahia,2007-01,2.0,1,2007-06
Santa Catarina,2007-01,Sem informacao,39,2007-06
Sergipe,2007-01,1.0,1,2007-06
Sergipe,2007-01,Sem informacao,53,2007-06
Amazonas,2007-01,Sem informacao,80,2007-06
Amazonas,2007-01,1.0,1,2007-06
São Paulo,2007-01,1.0,9,2007-06
São Paulo,2007-01,3.0,17,2007-06
São Paulo,2007-01,4.0,7,2007-06
São Paulo,2007-01,Sem informacao,7455,2007-06
Amapá,2007-01,Sem informacao,566,2007-06
Alagoas,2007-01,Sem informacao,326,2007-06
Alagoas,2007-01,3.0,1,2007-06
Alagoas,2007-01,1.0,2,2007-06
Tocantins,2007-01,1.0,4,2007-06
Bahia,2007-01,1.0,4,2007-06
Tocantins,2007-01,3.0,2,2007-06
Rio Grande do Norte,2007-01,Sem informacao,461,2007-06
Espírito Santo,2007-01,1.0,1,2007-06
Minas Gerais,2007-01,4.0,1,2007-06
Minas Gerais,2007-01,Sem informacao,2332,2007-06
Mato Grosso do Sul,2007-01,Sem informacao,17020,2007-06
Mato Grosso do Sul,2007-01,3.0,12,2007-06
Mato Grosso do Sul,2007-01,1.0,1,2007-06
Paraná,2007-01,1.0,6,2007-06
Paraná,2007-01,3.0,6,2007-06
Paraná,2007-01,4.0,1,2007-06
Paraná,2007-01,Sem informacao,1145,2007-06
Mato Grosso,2007-01,Sem informacao,3148,2007-06
Mato Grosso,2007-01,4.0,3,2007-06
Mato Grosso,2007-01,2.0,1,2007-06
Mato Grosso,2007-01,1.0,12,2007-06
Paraíba,2007-01,3.0,1,2007-06
Rio Grande do Norte,2007-01,4.0,1,2007-06
Paraíba,2007-01,Sem informacao,279,2007-06
Pará,2007-01,2.0,3,2007-06
Pará,2007-01,3.0,24,2007-06
Pará,2007-01,Sem informacao,1098,2007-06
Maranhão,2007-01,Sem informacao,1483,2007-06
Maranhão,2007-01,3.0,1,2007-06
Maranhão,2007-01,2.0,1,2007-06
Maranhão,2007-01,1.0,1,2007-06
Pernambuco,2007-01,1.0,3,2007-06
Pernambuco,2007-01,Sem informacao,1190,2007-06
Goiás,2007-01,Sem informacao,2116,2007-06
Goiás,2007-01,3.0,10,2007-06
Piauí,2007-01,Sem informacao,984,2007-06
Espírito Santo,2007-01,Sem informacao,694,2007-06
Espírito Santo,2007-01,3.0,1,2007-06
Pará,2007-01,1.0,15,2007-06
Tocantins,2007-01,Sem informacao,2184,2007-06
Minas Gerais,2007-01,1.0,2,2007-06
Espírito Santo,2007-02,Sem informacao,1037,2007-06
Goiás,2007-02,1.0,1,2007-06
Espírito Santo,2007-02,3.0,8,2007-06
Espírito Santo,2007-02,1.0,1,2007-06
Pernambuco,2007-02,1.0,22,2007-06
Pernambuco,2007-02,3.0,1,2007-06
Pernambuco,2007-02,Sem informacao,1815,2007-06
Rio Grande do Norte,2007-02,1.0,1,2007-06
Rio Grande do Norte,2007-02,Sem informacao,647,2007-06
Paraná,2007-02,Sem informacao,3452,2007-06
Paraná,2007-02,3.0,17,2007-06
Paraná,2007-02,1.0,6,2007-06
Rio de Janeiro,2007-02,Sem informacao,5438,2007-06
Rio de Janeiro,2007-02,4.0,2,2007-06
Rio de Janeiro,2007-02,3.0,10,2007-06
Rio de Janeiro,2007-02,1.0,3,2007-06
Bahia,2007-02,1.0,5,2007-06
Bahia,2007-02,3.0,3,2007-06
Distrito Federal,2007-02,2.0,1,2007-06
Rio Grande do Sul,2007-02,Sem informacao,36,2007-06
Roraima,2007-02,Sem informacao,183,2007-06
Roraima,2007-02,2.0,3,2007-06
Tocantins,2007-02,Sem informacao,4021,2007-06
Tocantins,2007-02,1.0,9,2007-06
Santa Catarina,2007-02,1.0,2,2007-06
Alagoas,2007-02,1.0,3,2007-06
Alagoas,2007-02,Sem informacao,337,2007-06
Mato Grosso do Sul,2007-02,Sem informacao,25082,2007-06
Mato Grosso do Sul,2007-02,4.0,2,2007-06
Mato Grosso do Sul,2007-02,3.0,20,2007-06
Mato Grosso do Sul,2007-02,1.0,10,2007-06
Bahia,2007-02,Sem informacao,1041,2007-06
Alagoas,2007-02,4.0,1,2007-06
Santa Catarina,2007-02,Sem informacao,64,2007-06
Amapá,2007-02,1.0,4,2007-06
Amapá,2007-02,Sem informacao,801,2007-06
Amazonas,2007-02,3.0,1,2007-06
Amazonas,2007-02,Sem informacao,179,2007-06
Ceará,2007-02,4.0,2,2007-06
Ceará,2007-02,3.0,1,2007-06
Ceará,2007-02,2.0,14,2007-06
Ceará,2007-02,1.0,3,2007-06
Ceará,2007-02,Sem informacao,3355,2007-06
Pará,2007-02,1.0,19,2007-06
Pará,2007-02,3.0,19,2007-06
Pará,2007-02,4.0,2,2007-06
Pará,2007-02,Sem informacao,1976,2007-06
Piauí,2007-02,Sem informacao,1004,2007-06
Piauí,2007-02,1.0,2,2007-06
Goiás,2007-02,Sem informacao,3003,2007-06
Pará,2007-02,2.0,7,2007-06
Distrito Federal,2007-02,3.0,2,2007-06
Maranhão,2007-02,Sem informacao,2642,2007-06
Maranhão,2007-02,2.0,3,2007-06
Rondônia,2007-02,Sem informacao,473,2007-06
Rondônia,2007-02,1.0,1,2007-06
Mato Grosso,2007-02,Sem informacao,4038,2007-06
Mato Grosso,2007-02,4.0,3,2007-06
Mato Grosso,2007-02,1.0,17,2007-06
Sergipe,2007-02,1.0,2,2007-06
Maranhão,2007-02,4.0,1,2007-06
Sergipe,2007-02,Sem informacao,91,2007-06
São Paulo,2007-02,4.0,2,2007-06
São Paulo,2007-02,3.0,46,2007-06
São Paulo,2007-02,2.0,1,2007-06
São Paulo,2007-02,1.0,34,2007-06
Paraíba,2007-02,Sem informacao,833,2007-06
Maranhão,2007-02,1.0,3,2007-06
São Paulo,2007-02,Sem informacao,18848,2007-06
Distrito Federal,2007-02,Sem informacao,275,2007-06
Goiás,2007-02,3.0,9,2007-06
Minas Gerais,2007-02,Sem informacao,4249,2007-06
Minas Gerais,2007-02,1.0,9,2007-06
Minas Gerais,2007-02,3.0,5,2007-06
Minas Gerais,2007-02,4.0,3,2007-06
Acre,2007-02,Sem informacao,361,2007-06
Rio Grande do Sul,2007-03,1.0,1,2007-06
Pará,2007-03,1.0,29,2007-06
Pará,2007-03,2.0,11,2007-06
Roraima,2007-03,2.0,4,2007-06
Roraima,2007-03,Sem informacao,119,2007-06
Maranhão,2007-03,Sem informacao,3390,2007-06
Maranhão,2007-03,4.0,2,2007-06
Pernambuco,2007-03,2.0,2,2007-06
Pernambuco,2007-03,1.0,20,2007-06
Rio de Janeiro,2007-03,3.0,17,2007-06
Sergipe,2007-03,1.0,1,2007-06
Rio de Janeiro,2007-03,1.0,7,2007-06
Alagoas,2007-03,4.0,2,2007-06
Alagoas,2007-03,Sem informacao,864,2007-06
Pará,2007-03,3.0,59,2007-06
Pará,2007-03,Sem informacao,3334,2007-06
Espírito Santo,2007-03,1.0,2,2007-06
Espírito Santo,2007-03,Sem informacao,1380,2007-06
Rio de Janeiro,2007-03,4.0,4,2007-06
Rio Grande do Sul,2007-03,Sem informacao,63,2007-06
Alagoas,2007-03,1.0,2,2007-06
Alagoas,2007-03,2.0,1,2007-06
São Paulo,2007-03,2.0,1,2007-06
Minas Gerais,2007-03,1.0,27,2007-06
Tocantins,2007-03,1.0,12,2007-06
Tocantins,2007-03,3.0,3,2007-06
Tocantins,2007-03,4.0,1,2007-06
Tocantins,2007-03,Sem informacao,5018,2007-06
Minas Gerais,2007-03,4.0,5,2007-06
Minas Gerais,2007-03,Sem informacao,10115,2007-06
Paraíba,2007-03,Sem informacao,1879,2007-06
Paraíba,2007-03,1.0,6,2007-06
São Paulo,2007-03,1.0,96,2007-06
São Paulo,2007-03,3.0,94,2007-06
São Paulo,2007-03,4.0,24,2007-06
São Paulo,2007-03,Sem informacao,48406,2007-06
Pernambuco,2007-03,Sem informacao,4146,2007-06
Pernambuco,2007-03,3.0,2,2007-06
Paraná,2007-03,Sem informacao,12943,2007-06
Paraná,2007-03,4.0,1,2007-06
Paraná,2007-03,3.0,18,2007-06
Paraná,2007-03,1.0,41,2007-06
Rio Grande do Norte,2007-03,Sem informacao,1616,2007-06
Rio Grande do Norte,2007-03,1.0,9,2007-06
Minas Gerais,2007-03,3.0,42,2007-06
Maranhão,2007-03,2.0,1,2007-06
Maranhão,2007-03,1.0,20,2007-06
Rio de Janeiro,2007-03,Sem informacao,12045,2007-06
Sergipe,2007-03,Sem informacao,133,2007-06
Santa Catarina,2007-03,Sem informacao,77,2007-06
Bahia,2007-03,4.0,1,2007-06
Bahia,2007-03,Sem informacao,2711,2007-06
Amapá,2007-03,Sem informacao,1358,2007-06
Mato Grosso do Sul,2007-03,Sem informacao,20209,2007-06
Mato Grosso do Sul,2007-03,3.0,80,2007-06
Mato Grosso do Sul,2007-03,1.0,64,2007-06
Mato Grosso,2007-03,1.0,24,2007-06
Goiás,2007-03,3.0,8,2007-06
Mato Grosso,2007-03,4.0,7,2007-06
Distrito Federal,2007-03,Sem informacao,371,2007-06
Acre,2007-03,Sem informacao,378,2007-06
Ceará,2007-03,1.0,33,2007-06
Distrito Federal,2007-03,4.0,1,2007-06
Distrito Federal,2007-03,3.0,6,2007-06
Piauí,2007-03,1.0,6,2007-06
Acre,2007-03,2.0,1,2007-06
Distrito Federal,2007-03,2.0,1,2007-06
Mato Grosso,2007-03,Sem informacao,4685,2007-06
Santa Catarina,2007-03,1.0,2,2007-06
Rondônia,2007-03,Sem informacao,411,2007-06
Bahia,2007-03,2.0,1,2007-06
Amazonas,2007-03,1.0,1,2007-06
Ceará,2007-03,Sem informacao,4999,2007-06
Ceará,2007-03,4.0,2,2007-06
Piauí,2007-03,Sem informacao,1261,2007-06
Piauí,2007-03,4.0,1,2007-06
Piauí,2007-03,2.0,2,2007-06
Ceará,2007-03,3.0,1,2007-06
Ceará,2007-03,2.0,4,2007-06
Bahia,2007-03,3.0,3,2007-06
Amazonas,2007-03,4.0,1,2007-06
Amazonas,2007-03,3.0,7,2007-06
Bahia,2007-03,1.0,8,2007-06
Amazonas,2007-03,Sem informacao,475,2007-06
Goiás,2007-03,Sem informacao,3877,2007-06
Bahia,2007-04,Sem informacao,2439,2007-06
Mato Grosso do Sul,2007-04,Sem informacao,8081,2007-06
Paraná,2007-04,3.0,12,2007-06
Minas Gerais,2007-04,1.0,66,2007-06
Paraná,2007-04,4.0,3,2007-06
Mato Grosso do Sul,2007-04,1.0,14,2007-06
Minas Gerais,2007-04,2.0,2,2007-06
Paraná,2007-04,1.0,19,2007-06
Paraná,2007-04,Sem informacao,16427,2007-06
Mato Grosso do Sul,2007-04,3.0,2,2007-06
Sergipe,2007-04,Sem informacao,363,2007-06
Ceará,2007-04,2.0,1,2007-06
Maranhão,2007-04,2.0,1,2007-06
Ceará,2007-04,4.0,1,2007-06
Ceará,2007-04,Sem informacao,7589,2007-06
Sergipe,2007-04,1.0,1,2007-06
Rio de Janeiro,2007-04,1.0,3,2007-06
Rio de Janeiro,2007-04,2.0,4,2007-06
Rio de Janeiro,2007-04,3.0,23,2007-06
Rio de Janeiro,2007-04,4.0,3,2007-06
Rio de Janeiro,2007-04,Sem informacao,15564,2007-06
Alagoas,2007-04,Sem informacao,884,2007-06
Alagoas,2007-04,4.0,4,2007-06
Maranhão,2007-04,Sem informacao,2445,2007-06
Alagoas,2007-04,3.0,1,2007-06
Bahia,2007-04,1.0,5,2007-06
Bahia,2007-04,2.0,1,2007-06
Bahia,2007-04,3.0,4,2007-06
Amazonas,2007-04,Sem informacao,348,2007-06
Amazonas,2007-04,3.0,1,2007-06
Ceará,2007-04,1.0,39,2007-06
Acre,2007-04,Sem informacao,397,2007-06
Minas Gerais,2007-04,Sem informacao,12075,2007-06
Minas Gerais,2007-04,4.0,15,2007-06
Maranhão,2007-04,1.0,3,2007-06
Alagoas,2007-04,1.0,3,2007-06
Amazonas,2007-04,1.0,4,2007-06
São Paulo,2007-04,Sem informacao,52178,2007-06
Pará,2007-04,3.0,10,2007-06
Espírito Santo,2007-04,Sem informacao,2012,2007-06
Mato Grosso,2007-04,Sem informacao,2797,2007-06
Mato Grosso,2007-04,4.0,1,2007-06
Mato Grosso,2007-04,1.0,14,2007-06
Amapá,2007-04,Sem informacao,1069,2007-06
Goiás,2007-04,3.0,8,2007-06
Goiás,2007-04,Sem informacao,2466,2007-06
Pará,2007-04,1.0,18,2007-06
Rio Grande do Sul,2007-04,Sem informacao,513,2007-06
Rio Grande do Sul,2007-04,3.0,2,2007-06
Rio Grande do Sul,2007-04,1.0,1,2007-06
Pará,2007-04,2.0,14,2007-06
Santa Catarina,2007-04,Sem informacao,95,2007-06
Santa Catarina,2007-04,1.0,1,2007-06
Pará,2007-04,4.0,1,2007-06
Pará,2007-04,Sem informacao,3331,2007-06
Pernambuco,2007-04,Sem informacao,7584,2007-06
Pernambuco,2007-04,4.0,1,2007-06
Pernambuco,2007-04,3.0,1,2007-06
Piauí,2007-04,Sem informacao,1576,2007-06
Piauí,2007-04,2.0,1,2007-06
Piauí,2007-04,1.0,3,2007-06
Pernambuco,2007-04,1.0,13,2007-06
Pernambuco,2007-04,2.0,1,2007-06
Rondônia,2007-04,Sem informacao,235,2007-06
Espírito Santo,2007-04,3.0,1,2007-06
Distrito Federal,2007-04,4.0,1,2007-06
Tocantins,2007-04,1.0,1,2007-06
Tocantins,2007-04,3.0,3,2007-06
Tocantins,2007-04,Sem informacao,3003,2007-06
Paraíba,2007-04,Sem informacao,2608,2007-06
Paraíba,2007-04,1.0,6,2007-06
Minas Gerais,2007-04,3.0,34,2007-06
São Paulo,2007-04,1.0,45,2007-06
Distrito Federal,2007-04,3.0,1,2007-06
Rondônia,2007-04,1.0,2,2007-06
Rio Grande do Norte,2007-04,Sem informacao,1754,2007-06
Rio Grande do Norte,2007-04,4.0,1,2007-06
Goiás,2007-04,1.0,13,2007-06
Rio Grande do Norte,2007-04,2.0,1,2007-06
Rio Grande do Norte,2007-04,1.0,15,2007-06
São Paulo,2007-04,3.0,39,2007-06
Distrito Federal,2007-04,Sem informacao,286,2007-06
Roraima,2007-04,Sem informacao,152,2007-06
São Paulo,2007-04,4.0,25,2007-06
Amapá,2007-05,1.0,1,2007-06
Mato Grosso,2007-05,Sem informacao,1775,2007-06
Mato Grosso,2007-05,4.0,2,2007-06
Goiás,2007-05,1.0,3,2007-06
Goiás,2007-05,3.0,4,2007-06
Goiás,2007-05,Sem informacao,1737,2007-06
Rondônia,2007-05,1.0,2,2007-06
Mato Grosso,2007-05,3.0,1,2007-06
Minas Gerais,2007-05,1.0,30,2007-06
Santa Catarina,2007-05,Sem informacao,62,2007-06
Pará,2007-05,Sem informacao,1491,2007-06
Acre,2007-05,4.0,1,2007-06
Mato Grosso,2007-05,1.0,17,2007-06
Amapá,2007-05,Sem informacao,826,2007-06
Rondônia,2007-05,3.0,1,2007-06
Minas Gerais,2007-05,3.0,4,2007-06
Paraíba,2007-05,1.0,2,2007-06
Minas Gerais,2007-05,Sem informacao,7692,2007-06
Sergipe,2007-05,1.0,2,2007-06
Sergipe,2007-05,Sem informacao,202,2007-06
Paraná,2007-05,Sem informacao,8739,2007-06
Paraná,2007-05,4.0,2,2007-06
Paraná,2007-05,3.0,2,2007-06
Paraná,2007-05,1.0,7,2007-06
Rio Grande do Norte,2007-05,Sem informacao,1703,2007-06
Rio Grande do Norte,2007-05,1.0,20,2007-06
Ceará,2007-05,Sem informacao,9621,2007-06
São Paulo,2007-05,1.0,34,2007-06
São Paulo,2007-05,2.0,4,2007-06
São Paulo,2007-05,3.0,57,2007-06
São Paulo,2007-05,4.0,8,2007-06
São Paulo,2007-05,Sem informacao,31993,2007-06
Espírito Santo,2007-05,1.0,1,2007-06
Acre,2007-05,Sem informacao,245,2007-06
Rio de Janeiro,2007-05,Sem informacao,11992,2007-06
Rio de Janeiro,2007-05,4.0,2,2007-06
Rio de Janeiro,2007-05,3.0,15,2007-06
Rio de Janeiro,2007-05,2.0,1,2007-06
Rio de Janeiro,2007-05,1.0,3,2007-06
Espírito Santo,2007-05,Sem informacao,1883,2007-06
Paraíba,2007-05,Sem informacao,2063,2007-06
Ceará,2007-05,4.0,2,2007-06
Ceará,2007-05,2.0,3,2007-06
Ceará,2007-05,1.0,134,2007-06
Rondônia,2007-05,Sem informacao,202,2007-06
Pará,2007-05,1.0,5,2007-06
Pará,2007-05,3.0,4,2007-06
Minas Gerais,2007-05,4.0,5,2007-06
Mato Grosso do Sul,2007-05,1.0,10,2007-06
Ceará,2007-05,3.0,1,2007-06
Bahia,2007-05,1.0,4,2007-06
Distrito Federal,2007-05,1.0,3,2007-06
Distrito Federal,2007-05,Sem informacao,276,2007-06
Rio Grande do Sul,2007-05,Sem informacao,333,2007-06
Piauí,2007-05,Sem informacao,2890,2007-06
Alagoas,2007-05,Sem informacao,1646,2007-06
Alagoas,2007-05,4.0,8,2007-06
Roraima,2007-05,Sem informacao,232,2007-06
Alagoas,2007-05,3.0,4,2007-06
Roraima,2007-05,2.0,1,2007-06
Maranhão,2007-05,1.0,1,2007-06
Mato Grosso do Sul,2007-05,Sem informacao,2522,2007-06
Alagoas,2007-05,1.0,10,2007-06
Amazonas,2007-05,Sem informacao,261,2007-06
Pernambuco,2007-05,Sem informacao,7545,2007-06
Amazonas,2007-05,2.0,2,2007-06
Bahia,2007-05,3.0,2,2007-06
Bahia,2007-05,4.0,1,2007-06
Bahia,2007-05,Sem informacao,1776,2007-06
Piauí,2007-05,2.0,10,2007-06
Piauí,2007-05,1.0,5,2007-06
Amazonas,2007-05,3.0,6,2007-06
Pernambuco,2007-05,1.0,20,2007-06
Tocantins,2007-05,1.0,6,2007-06
Pernambuco,2007-05,2.0,2,2007-06
Pernambuco,2007-05,3.0,7,2007-06
Pernambuco,2007-05,4.0,2,2007-06
Tocantins,2007-05,Sem informacao,2076,2007-06
Maranhão,2007-05,Sem informacao,2377,2007-06
Maranhão,2007-06,2.0,3,2007-06
Maranhão,2007-06,Sem informacao,1249,2007-06
Maranhão,2007-06,1.0,1,2007-06
Paraná,2007-06,Sem informacao,1838,2007-06
Ceará,2007-06,1.0,75,2007-06
Mato Grosso do Sul,2007-06,Sem informacao,420,2007-06
Ceará,2007-06,2.0,19,2007-06
Espírito Santo,2007-06,Sem informacao,898,2007-06
Rondônia,2007-06,Sem informacao,120,2007-06
Rio Grande do Sul,2007-06,Sem informacao,76,2007-06
Espírito Santo,2007-06,2.0,1,2007-06
São Paulo,2007-06,2.0,1,2007-06
Ceará,2007-06,Sem informacao,7778,2007-06
Minas Gerais,2007-06,4.0,2,2007-06
Minas Gerais,2007-06,1.0,9,2007-06
Tocantins,2007-06,3.0,1,2007-06
Tocantins,2007-06,1.0,5,2007-06
Tocantins,2007-06,Sem informacao,1135,2007-06
Paraíba,2007-06,1.0,1,2007-06
Paraíba,2007-06,4.0,1,2007-06
Paraíba,2007-06,Sem informacao,1125,2007-06
Rio Grande do Norte,2007-06,Sem informacao,1724,2007-06
Rio Grande do Norte,2007-06,4.0,1,2007-06
Rio Grande do Norte,2007-06,1.0,7,2007-06
Sergipe,2007-06,Sem informacao,116,2007-06
Roraima,2007-06,2.0,7,2007-06
Roraima,2007-06,Sem informacao,179,2007-06
Piauí,2007-06,Sem informacao,3695,2007-06
Piauí,2007-06,3.0,2,2007-06
Piauí,2007-06,2.0,89,2007-06
Piauí,2007-06,1.0,5,2007-06
São Paulo,2007-06,1.0,3,2007-06
São Paulo,2007-06,3.0,1,2007-06
São Paulo,2007-06,4.0,2,2007-06
São Paulo,2007-06,Sem informacao,7478,2007-06
Espírito Santo,2007-06,1.0,3,2007-06
Ceará,2007-06,3.0,1,2007-06
Minas Gerais,2007-06,Sem informacao,2207,2007-06
Acre,2007-06,Sem informacao,100,2007-06
Rondônia,2007-06,1.0,7,2007-06
Mato Grosso,2007-06,1.0,24,2007-06
Mato Grosso,2007-06,4.0,4,2007-06
Mato Grosso,2007-06,Sem informacao,976,2007-06
Goiás,2007-06,3.0,1,2007-06
Goiás,2007-06,Sem informacao,971,2007-06
Amazonas,2007-06,Sem informacao,281,2007-06
Acre,2007-06,3.0,1,2007-06
Distrito Federal,2007-06,Sem informacao,175,2007-06
Distrito Federal,2007-06,1.0,1,2007-06
Amazonas,2007-06,3.0,1,2007-06
Amazonas,2007-06,2.0,2,2007-06
Amapá,2007-06,Sem informacao,370,2007-06
Pernambuco,2007-06,Sem informacao,4364,2007-06
Pernambuco,2007-06,3.0,4,2007-06
Pará,2007-06,Sem informacao,771,2007-06
Pernambuco,2007-06,2.0,1,2007-06
Santa Catarina,2007-06,Sem informacao,33,2007-06
Rio de Janeiro,2007-06,Sem informacao,4519,2007-06
Rio de Janeiro,2007-06,3.0,5,2007-06
Rio de Janeiro,2007-06,2.0,1,2007-06
Alagoas,2007-06,1.0,10,2007-06
Bahia,2007-06,1.0,6,2007-06
Pará,2007-06,1.0,1,2007-06
Alagoas,2007-06,3.0,2,2007-06
Pernambuco,2007-06,1.0,40,2007-06
Bahia,2007-06,Sem informacao,942,2007-06
Alagoas,2007-06,4.0,2,2007-06
Pará,2007-06,3.0,2,2007-06
Bahia,2007-06,3.0,1,2007-06
Alagoas,2007-06,Sem informacao,1618,2007-06
Rio Grande do Norte,2007-07,1.0,9,2007-06
Rio Grande do Norte,2007-07,4.0,1,2007-06
Pará,2007-07,2.0,2,2007-06
Tocantins,2007-07,1.0,2,2007-06
Mato Grosso,2007-07,1.0,8,2007-06
Mato Grosso,2007-07,4.0,3,2007-06
Pará,2007-07,Sem informacao,674,2007-06
Piauí,2007-07,Sem informacao,1160,2007-06
Mato Grosso,2007-07,Sem informacao,571,2007-06
Pará,2007-07,3.0,4,2007-06
Minas Gerais,2007-07,Sem informacao,958,2007-06
Tocantins,2007-07,Sem informacao,523,2007-06
Piauí,2007-07,3.0,1,2007-06
Goiás,2007-07,Sem informacao,596,2007-06
Piauí,2007-07,1.0,2,2007-06
Rondônia,2007-07,Sem informacao,142,2007-06
Rio Grande do Sul,2007-07,Sem informacao,37,2007-06
Santa Catarina,2007-07,Sem informacao,16,2007-06
São Paulo,2007-07,Sem informacao,3658,2007-06
São Paulo,2007-07,3.0,5,2007-06
Espírito Santo,2007-07,Sem informacao,772,2007-06
Espírito Santo,2007-07,1.0,3,2007-06
Pará,2007-07,1.0,3,2007-06
São Paulo,2007-07,1.0,3,2007-06
Pernambuco,2007-07,1.0,10,2007-06
Amapá,2007-07,Sem informacao,173,2007-06
Pernambuco,2007-07,2.0,6,2007-06
Pernambuco,2007-07,3.0,4,2007-06
Pernambuco,2007-07,Sem informacao,3235,2007-06
Roraima,2007-07,Sem informacao,256,2007-06
Roraima,2007-07,2.0,5,2007-06
Roraima,2007-07,1.0,1,2007-06
Distrito Federal,2007-07,1.0,1,2007-06
Distrito Federal,2007-07,Sem informacao,167,2007-06
Piauí,2007-07,2.0,9,2007-06
Minas Gerais,2007-07,3.0,1,2007-06
Rio Grande do Norte,2007-07,Sem informacao,1972,2007-06
Sergipe,2007-07,Sem informacao,341,2007-06
Rio de Janeiro,2007-07,2.0,2,2007-06
Alagoas,2007-07,1.0,1,2007-06
Alagoas,2007-07,2.0,1,2007-06
Bahia,2007-07,1.0,1,2007-06
Alagoas,2007-07,3.0,1,2007-06
Maranhão,2007-07,1.0,1,2007-06
Alagoas,2007-07,4.0,2,2007-06
Alagoas,2007-07,Sem informacao,2101,2007-06
Bahia,2007-07,Sem informacao,997,2007-06
Acre,2007-07,Sem informacao,75,2007-06
Mato Grosso do Sul,2007-07,3.0,1,2007-06
Ceará,2007-07,Sem informacao,4840,2007-06
Ceará,2007-07,2.0,1,2007-06
Rio de Janeiro,2007-07,3.0,2,2007-06
Ceará,2007-07,1.0,19,2007-06
Minas Gerais,2007-07,1.0,5,2007-06
Rio de Janeiro,2007-07,Sem informacao,2876,2007-06
Paraíba,2007-07,Sem informacao,1330,2007-06
Amazonas,2007-07,1.0,1,2007-06
Paraíba,2007-07,1.0,8,2007-06
Paraíba,2007-07,2.0,3,2007-06
Paraná,2007-07,Sem informacao,950,2007-06
Amazonas,2007-07,3.0,5,2007-06
Amazonas,2007-07,Sem informacao,302,2007-06
Maranhão,2007-07,Sem informacao,828,2007-06
Mato Grosso do Sul,2007-07,Sem informacao,189,2007-06
São Paulo,2007-08,Sem informacao,2001,2007-06
Roraima,2007-08,Sem informacao,261,2007-06
Rio de Janeiro,2007-08,2.0,2,2007-06
Rio de Janeiro,2007-08,3.0,1,2007-06
Rio de Janeiro,2007-08,Sem informacao,1423,2007-06
Bahia,2007-08,Sem informacao,889,2007-06
Rondônia,2007-08,1.0,1,2007-06
Mato Grosso do Sul,2007-08,Sem informacao,100,2007-06
Mato Grosso do Sul,2007-08,1.0,1,2007-06
Bahia,2007-08,1.0,1,2007-06
Minas Gerais,2007-08,Sem informacao,471,2007-06
Rondônia,2007-08,Sem informacao,103,2007-06
Alagoas,2007-08,1.0,1,2007-06
Distrito Federal,2007-08,Sem informacao,114,2007-06
Distrito Federal,2007-08,1.0,1,2007-06
Amazonas,2007-08,2.0,1,2007-06
Amazonas,2007-08,3.0,3,2007-06
Amazonas,2007-08,4.0,1,2007-06
Amazonas,2007-08,Sem informacao,245,2007-06
Pernambuco,2007-08,Sem informacao,1843,2007-06
Pernambuco,2007-08,3.0,3,2007-06
Pernambuco,2007-08,2.0,6,2007-06
Santa Catarina,2007-08,Sem informacao,18,2007-06
Pernambuco,2007-08,1.0,4,2007-06
Mato Grosso,2007-08,1.0,1,2007-06
Mato Grosso,2007-08,3.0,1,2007-06
Mato Grosso,2007-08,Sem informacao,369,2007-06
Amapá,2007-08,Sem informacao,132,2007-06
Amapá,2007-08,1.0,1,2007-06
Alagoas,2007-08,Sem informacao,2053,2007-06
Alagoas,2007-08,3.0,1,2007-06
Acre,2007-08,Sem informacao,23,2007-06
Alagoas,2007-08,2.0,1,2007-06
Rio Grande do Norte,2007-08,Sem informacao,1520,2007-06
São Paulo,2007-08,4.0,2,2007-06
Bahia,2007-08,3.0,2,2007-06
Piauí,2007-08,Sem informacao,499,2007-06
Pará,2007-08,1.0,5,2007-06
Roraima,2007-08,2.0,4,2007-06
Roraima,2007-08,3.0,1,2007-06
Rio Grande do Norte,2007-08,1.0,7,2007-06
Sergipe,2007-08,Sem informacao,210,2007-06
Paraíba,2007-08,Sem informacao,859,2007-06
Sergipe,2007-08,1.0,1,2007-06
Maranhão,2007-08,1.0,3,2007-06
Maranhão,2007-08,2.0,1,2007-06
Ceará,2007-08,Sem informacao,3250,2007-06
Ceará,2007-08,4.0,1,2007-06
Ceará,2007-08,1.0,4,2007-06
Maranhão,2007-08,Sem informacao,493,2007-06
São Paulo,2007-08,3.0,1,2007-06
Pará,2007-08,2.0,1,2007-06
Paraíba,2007-08,1.0,2,2007-06
Rio Grande do Sul,2007-08,Sem informacao,24,2007-06
Piauí,2007-08,2.0,1,2007-06
Tocantins,2007-08,1.0,1,2007-06
Tocantins,2007-08,Sem informacao,375,2007-06
