Região,Período,Sorotipo,Casos,Ano
Nordeste,2020-01,Sem informacao,9942,2020-06
Sul,2020-01,2.0,913,2020-06
Norte,2020-01,Sem informacao,9419,2020-06
Norte,2020-01,2.0,27,2020-06
Norte,2020-01,1.0,28,2020-06
Nordeste,2020-01,2.0,6,2020-06
Norte,2020-02,Sem informacao,7709,2020-06
Norte,2020-02,2.0,32,2020-06
Norte,2020-02,1.0,19,2020-06
Centro-oeste,2020-02,1.0,89,2020-06
Centro-oeste,2020-02,2.0,422,2020-06
Centro-oeste,2020-02,Sem informacao,48909,2020-06
Sul,2020-02,Sem informacao,90891,2020-06
Sul,2020-02,4.0,6,2020-06
Sul,2020-02,2.0,905,2020-06
Sul,2020-02,1.0,195,2020-06
Nordeste,2020-02,Sem informacao,17058,2020-06
Sudeste,2020-02,Sem informacao,122675,2020-06
Sudeste,2020-02,4.0,2,2020-06
Nordeste,2020-02,2.0,6,2020-06
Sudeste,2020-02,2.0,425,2020-06
Sudeste,2020-02,1.0,94,2020-06
Nordeste,2020-02,1.0,26,2020-06
Sul,2020-02,3.0,2,2020-06
Sudeste,2020-02,3.0,1,2020-06
Sul,2020-03,1.0,134,2020-06
Sul,2020-03,4.0,7,2020-06
Centro-oeste,2020-03,1.0,117,2020-06
Sudeste,2020-03,Sem informacao,119014,2020-06
Sudeste,2020-03,2.0,264,2020-06
Sudeste,2020-03,1.0,68,2020-06
Sul,2020-03,2.0,399,2020-06
Nordeste,2020-03,Sem informacao,25324,2020-06
Nordeste,2020-03,4.0,1,2020-06
Nordeste,2020-03,2.0,8,2020-06
Sul,2020-03,Sem informacao,106456,2020-06
Centro-oeste,2020-03,2.0,288,2020-06
Centro-oeste,2020-03,4.0,1,2020-06
Nordeste,2020-03,1.0,33,2020-06
Norte,2020-03,Sem informacao,6365,2020-06
Norte,2020-03,4.0,1,2020-06
Norte,2020-03,2.0,21,2020-06
Norte,2020-03,1.0,15,2020-06
Centro-oeste,2020-03,Sem informacao,54068,2020-06
Norte,2020-04,Sem informacao,3727,2020-06
Norte,2020-04,4.0,1,2020-06
Norte,2020-04,2.0,8,2020-06
Norte,2020-04,1.0,10,2020-06
Sul,2020-04,Sem informacao,69136,2020-06
Sudeste,2020-04,1.0,63,2020-06
Sudeste,2020-04,2.0,137,2020-06
Sudeste,2020-04,4.0,1,2020-06
Sudeste,2020-04,Sem informacao,79481,2020-06
Sul,2020-04,2.0,140,2020-06
Sul,2020-04,4.0,1,2020-06
Sul,2020-04,1.0,64,2020-06
Nordeste,2020-04,1.0,42,2020-06
Nordeste,2020-04,2.0,6,2020-06
Nordeste,2020-04,Sem informacao,33772,2020-06
Centro-oeste,2020-04,1.0,157,2020-06
Centro-oeste,2020-04,Sem informacao,42435,2020-06
Centro-oeste,2020-04,4.0,3,2020-06
Centro-oeste,2020-04,2.0,155,2020-06
Centro-oeste,2020-05,4.0,3,2020-06
Sul,2020-05,2.0,58,2020-06
Centro-oeste,2020-05,2.0,42,2020-06
Centro-oeste,2020-05,1.0,92,2020-06
Norte,2020-05,2.0,4,2020-06
Centro-oeste,2020-05,Sem informacao,32438,2020-06
Norte,2020-05,Sem informacao,3885,2020-06
Sul,2020-05,Sem informacao,36018,2020-06
Sul,2020-05,4.0,3,2020-06
Norte,2020-05,1.0,6,2020-06
Nordeste,2020-05,Sem informacao,40919,2020-06
Sul,2020-05,1.0,20,2020-06
Nordeste,2020-05,4.0,3,2020-06
Sudeste,2020-05,Sem informacao,52588,2020-06
Sudeste,2020-05,2.0,92,2020-06
Sudeste,2020-05,1.0,26,2020-06
Nordeste,2020-05,1.0,75,2020-06
Nordeste,2020-05,2.0,12,2020-06
Nordeste,2020-06,1.0,46,2020-06
Sul,2020-06,1.0,2,2020-06
Sul,2020-06,2.0,18,2020-06
Sul,2020-06,4.0,2,2020-06
Sul,2020-06,Sem informacao,16741,2020-06
Sudeste,2020-06,Sem informacao,31771,2020-06
Norte,2020-06,Sem informacao,3558,2020-06
Norte,2020-06,1.0,6,2020-06
Sudeste,2020-06,2.0,26,2020-06
Sudeste,2020-06,1.0,11,2020-06
Norte,2020-06,2.0,1,2020-06
Centro-oeste,2020-06,2.0,14,2020-06
Nordeste,2020-06,2.0,17,2020-06
Nordeste,2020-06,4.0,1,2020-06
Nordeste,2020-06,Sem informacao,34281,2020-06
Centro-oeste,2020-06,Sem informacao,20899,2020-06
Centro-oeste,2020-06,1.0,80,2020-06
Nordeste,2020-07,1.0,17,2020-06
Sudeste,2020-07,Sem informacao,21756,2020-06
Sul,2020-07,2.0,1,2020-06
Sudeste,2020-07,2.0,9,2020-06
Sudeste,2020-07,1.0,12,2020-06
Nordeste,2020-07,2.0,19,2020-06
Nordeste,2020-07,Sem informacao,24692,2020-06
Sul,2020-07,1.0,1,2020-06
Norte,2020-07,Sem informacao,2428,2020-06
Norte,2020-07,1.0,8,2020-06
Sul,2020-07,Sem informacao,6925,2020-06
Centro-oeste,2020-07,1.0,39,2020-06
Centro-oeste,2020-07,2.0,3,2020-06
Centro-oeste,2020-07,Sem informacao,12295,2020-06
Norte,2020-08,Sem informacao,1477,2020-06
Sudeste,2020-08,Sem informacao,12505,2020-06
Sudeste,2020-08,1.0,3,2020-06
Sul,2020-08,1.0,1,2020-06
Sul,2020-08,Sem informacao,3100,2020-06
Centro-oeste,2020-08,2.0,1,2020-06
Norte,2020-08,1.0,5,2020-06
Centro-oeste,2020-08,Sem informacao,6215,2020-06
Nordeste,2020-08,Sem informacao,12797,2020-06
Nordeste,2020-08,1.0,8,2020-06
Centro-oeste,2020-08,1.0,6,2020-06
Nordeste,2020-08,2.0,7,2020-06
Sudeste,2020-09,Sem informacao,11791,2020-06
Nordeste,2020-09,Sem informacao,8018,2020-06
Nordeste,2020-09,2.0,4,2020-06
Nordeste,2020-09,1.0,2,2020-06
Sudeste,2020-09,2.0,2,2020-06
Centro-oeste,2020-09,Sem informacao,4737,2020-06
Sudeste,2020-09,1.0,1,2020-06
Sul,2020-09,Sem informacao,3708,2020-06
Sul,2020-09,2.0,1,2020-06
Norte,2020-09,Sem informacao,1186,2020-06
Norte,2020-09,1.0,4,2020-06
Centro-oeste,2020-09,1.0,4,2020-06
Centro-oeste,2020-09,2.0,5,2020-06
Norte,2020-10,2.0,5,2020-06
Norte,2020-10,1.0,5,2020-06
Norte,2020-10,Sem informacao,1252,2020-06
Centro-oeste,2020-10,1.0,7,2020-06
Centro-oeste,2020-10,2.0,1,2020-06
Centro-oeste,2020-10,Sem informacao,3831,2020-06
Sul,2020-10,1.0,1,2020-06
Sul,2020-10,2.0,1,2020-06
Sul,2020-10,Sem informacao,4342,2020-06
Nordeste,2020-10,1.0,2,2020-06
Nordeste,2020-10,Sem informacao,5662,2020-06
Nordeste,2020-10,2.0,1,2020-06
Sudeste,2020-10,Sem informacao,10989,2020-06
Sudeste,2020-10,1.0,2,2020-06
Centro-oeste,2020-11,1.0,10,2020-06
Nordeste,2020-11,2.0,1,2020-06
Sul,2020-11,1.0,2,2020-06
Sul,2020-11,2.0,8,2020-06
Sudeste,2020-11,Sem informacao,11556,2020-06
Sudeste,2020-11,1.0,5,2020-06
Centro-oeste,2020-11,Sem informacao,4413,2020-06
Nordeste,2020-11,1.0,1,2020-06
Norte,2020-11,1.0,2,2020-06
Norte,2020-11,2.0,2,2020-06
Norte,2020-11,Sem informacao,2138,2020-06
Nordeste,2020-11,Sem informacao,4619,2020-06
Sul,2020-11,Sem informacao,5493,2020-06
Sul,2020-12,1.0,7,2020-06
Sul,2020-12,2.0,5,2020-06
Norte,2020-12,2.0,1,2020-06
Norte,2020-12,1.0,3,2020-06
Centro-oeste,2020-12,Sem informacao,5885,2020-06
Norte,2020-12,Sem informacao,4186,2020-06
Centro-oeste,2020-12,1.0,27,2020-06
Sudeste,2020-12,Sem informacao,14249,2020-06
Sudeste,2020-12,2.0,5,2020-06
Sudeste,2020-12,1.0,7,2020-06
Sul,2020-12,Sem informacao,6089,2020-06
Nordeste,2020-12,Sem informacao,3943,2020-06
Nordeste,2020-12,1.0,1,2020-06
Centro-oeste,2020-12,2.0,5,2020-06
Sudeste,2021-01,Sem informacao,20068,2021-06
Sul,2021-01,Sem informacao,7629,2021-06
Sul,2021-01,2.0,44,2021-06
Sudeste,2021-01,1.0,26,2021-06
Sudeste,2021-01,2.0,9,2021-06
Nordeste,2021-01,2.0,3,2021-06
Nordeste,2021-01,1.0,3,2021-06
Centro-oeste,2021-01,Sem informacao,8784,2021-06
Centro-oeste,2021-01,2.0,15,2021-06
Centro-oeste,2021-01,1.0,41,2021-06
Norte,2021-01,1.0,20,2021-06
Norte,2021-01,2.0,6,2021-06
Norte,2021-01,Sem informacao,8917,2021-06
Sul,2021-01,1.0,15,2021-06
Nordeste,2021-01,Sem informacao,4578,2021-06
Nordeste,2021-01,3.0,1,2021-06
Norte,2021-02,2.0,44,2021-06
Nordeste,2021-02,Sem informacao,10708,2021-06
Norte,2021-02,1.0,22,2021-06
Nordeste,2021-02,1.0,8,2021-06
Norte,2021-02,4.0,1,2021-06
Norte,2021-02,Sem informacao,11323,2021-06
Sul,2021-02,2.0,31,2021-06
Centro-oeste,2021-02,1.0,54,2021-06
Centro-oeste,2021-02,2.0,61,2021-06
Centro-oeste,2021-02,4.0,1,2021-06
Centro-oeste,2021-02,Sem informacao,15807,2021-06
Sul,2021-02,Sem informacao,12250,2021-06
Sul,2021-02,1.0,20,2021-06
Sudeste,2021-02,Sem informacao,42008,2021-06
Sudeste,2021-02,2.0,28,2021-06
Sudeste,2021-02,1.0,59,2021-06
Nordeste,2021-02,3.0,1,2021-06
Nordeste,2021-02,2.0,1,2021-06
Centro-oeste,2021-03,1.0,41,2021-06
Centro-oeste,2021-03,2.0,129,2021-06
Centro-oeste,2021-03,4.0,1,2021-06
Centro-oeste,2021-03,Sem informacao,21806,2021-06
Nordeste,2021-03,2.0,13,2021-06
Norte,2021-03,1.0,30,2021-06
Norte,2021-03,Sem informacao,12484,2021-06
Sul,2021-03,Sem informacao,20755,2021-06
Sul,2021-03,2.0,66,2021-06
Sul,2021-03,1.0,96,2021-06
Sudeste,2021-03,Sem informacao,81809,2021-06
Sudeste,2021-03,2.0,77,2021-06
Sudeste,2021-03,1.0,102,2021-06
Nordeste,2021-03,Sem informacao,15405,2021-06
Nordeste,2021-03,1.0,11,2021-06
Norte,2021-03,2.0,20,2021-06
Sul,2021-04,1.0,230,2021-06
Sul,2021-04,2.0,106,2021-06
Sul,2021-04,Sem informacao,35498,2021-06
Nordeste,2021-04,Sem informacao,18809,2021-06
Sudeste,2021-04,2.0,114,2021-06
Sudeste,2021-04,1.0,137,2021-06
Centro-oeste,2021-04,2.0,138,2021-06
Nordeste,2021-04,1.0,13,2021-06
Nordeste,2021-04,2.0,11,2021-06
Norte,2021-04,Sem informacao,6728,2021-06
Norte,2021-04,2.0,3,2021-06
Norte,2021-04,1.0,56,2021-06
Centro-oeste,2021-04,1.0,86,2021-06
Centro-oeste,2021-04,4.0,2,2021-06
Sudeste,2021-04,Sem informacao,93297,2021-06
Centro-oeste,2021-04,Sem informacao,23599,2021-06
Sul,2021-05,1.0,184,2021-06
Sul,2021-05,2.0,70,2021-06
Sul,2021-05,Sem informacao,27586,2021-06
Nordeste,2021-05,1.0,12,2021-06
Nordeste,2021-05,4.0,1,2021-06
Centro-oeste,2021-05,Sem informacao,22167,2021-06
Centro-oeste,2021-05,1.0,80,2021-06
Sudeste,2021-05,1.0,129,2021-06
Sudeste,2021-05,2.0,57,2021-06
Sudeste,2021-05,Sem informacao,64601,2021-06
Centro-oeste,2021-05,4.0,3,2021-06
Centro-oeste,2021-05,2.0,36,2021-06
Nordeste,2021-05,2.0,71,2021-06
Norte,2021-05,Sem informacao,5323,2021-06
Norte,2021-05,4.0,1,2021-06
Norte,2021-05,2.0,2,2021-06
Norte,2021-05,1.0,30,2021-06
Nordeste,2021-05,Sem informacao,30752,2021-06
Sudeste,2021-06,2.0,29,2021-06
Sul,2021-06,1.0,136,2021-06
Sudeste,2021-06,Sem informacao,30707,2021-06
Centro-oeste,2021-06,1.0,39,2021-06
Centro-oeste,2021-06,2.0,13,2021-06
Centro-oeste,2021-06,Sem informacao,15925,2021-06
Nordeste,2021-06,Sem informacao,37465,2021-06
Nordeste,2021-06,2.0,119,2021-06
Norte,2021-06,Sem informacao,4126,2021-06
Norte,2021-06,2.0,4,2021-06
Norte,2021-06,1.0,32,2021-06
Nordeste,2021-06,1.0,5,2021-06
Sul,2021-06,2.0,13,2021-06
Sul,2021-06,Sem informacao,9991,2021-06
Sudeste,2021-06,1.0,41,2021-06
Centro-oeste,2021-07,2.0,4,2021-06
Sudeste,2021-07,2.0,15,2021-06
Centro-oeste,2021-07,Sem informacao,8607,2021-06
Sul,2021-07,1.0,29,2021-06
Nordeste,2021-07,Sem informacao,32513,2021-06
Nordeste,2021-07,2.0,115,2021-06
Nordeste,2021-07,1.0,17,2021-06
Sul,2021-07,2.0,1,2021-06
Sul,2021-07,Sem informacao,4306,2021-06
Norte,2021-07,Sem informacao,3059,2021-06
Sudeste,2021-07,1.0,9,2021-06
Norte,2021-07,1.0,25,2021-06
Sudeste,2021-07,Sem informacao,13207,2021-06
Centro-oeste,2021-07,1.0,13,2021-06
Sul,2021-08,1.0,2,2021-06
Centro-oeste,2021-08,Sem informacao,5496,2021-06
Centro-oeste,2021-08,2.0,1,2021-06
Centro-oeste,2021-08,1.0,8,2021-06
Sudeste,2021-08,1.0,2,2021-06
Nordeste,2021-08,2.0,30,2021-06
Nordeste,2021-08,1.0,10,2021-06
Sudeste,2021-08,Sem informacao,10210,2021-06
Norte,2021-08,Sem informacao,2655,2021-06
Norte,2021-08,2.0,2,2021-06
Norte,2021-08,1.0,27,2021-06
Sul,2021-08,2.0,3,2021-06
Sul,2021-08,Sem informacao,3943,2021-06
Nordeste,2021-08,Sem informacao,22295,2021-06
Sudeste,2021-08,2.0,4,2021-06
Sudeste,2021-09,Sem informacao,10307,2021-06
Sudeste,2021-09,1.0,4,2021-06
Nordeste,2021-09,Sem informacao,14706,2021-06
Nordeste,2021-09,2.0,9,2021-06
Sul,2021-09,1.0,3,2021-06
Sul,2021-09,Sem informacao,3913,2021-06
Nordeste,2021-09,1.0,9,2021-06
Centro-oeste,2021-09,1.0,6,2021-06
Centro-oeste,2021-09,Sem informacao,4666,2021-06
Norte,2021-09,Sem informacao,1974,2021-06
Norte,2021-09,1.0,16,2021-06
Sul,2021-10,2.0,1,2021-06
Sudeste,2021-10,Sem informacao,9055,2021-06
Sudeste,2021-10,4.0,1,2021-06
Sudeste,2021-10,1.0,4,2021-06
Norte,2021-10,Sem informacao,2121,2021-06
Norte,2021-10,2.0,2,2021-06
Nordeste,2021-10,1.0,7,2021-06
Nordeste,2021-10,2.0,4,2021-06
Nordeste,2021-10,3.0,1,2021-06
Norte,2021-10,1.0,15,2021-06
Sul,2021-10,1.0,1,2021-06
Centro-oeste,2021-10,Sem informacao,5094,2021-06
Centro-oeste,2021-10,1.0,7,2021-06
Sul,2021-10,Sem informacao,3473,2021-06
Nordeste,2021-10,Sem informacao,10026,2021-06
Centro-oeste,2021-11,Sem informacao,9345,2021-06
Centro-oeste,2021-11,2.0,1,2021-06
Centro-oeste,2021-11,1.0,49,2021-06
Norte,2021-11,Sem informacao,4751,2021-06
Sudeste,2021-11,2.0,1,2021-06
Sudeste,2021-11,1.0,3,2021-06
Sudeste,2021-11,Sem informacao,11482,2021-06
Norte,2021-11,2.0,9,2021-06
Norte,2021-11,1.0,79,2021-06
Nordeste,2021-11,2.0,1,2021-06
Nordeste,2021-11,1.0,8,2021-06
Nordeste,2021-11,Sem informacao,9065,2021-06
Sul,2021-11,Sem informacao,4010,2021-06
Nordeste,2021-12,Sem informacao,10828,2021-06
Norte,2021-12,1.0,571,2021-06
Norte,2021-12,2.0,15,2021-06
Norte,2021-12,4.0,1,2021-06
Norte,2021-12,Sem informacao,13389,2021-06
Sul,2021-12,2.0,1,2021-06
Sul,2021-12,Sem informacao,4401,2021-06
Nordeste,2021-12,2.0,11,2021-06
Nordeste,2021-12,1.0,7,2021-06
Sudeste,2021-12,1.0,13,2021-06
Sudeste,2021-12,2.0,3,2021-06
Sudeste,2021-12,Sem informacao,19335,2021-06
Centro-oeste,2021-12,Sem informacao,26735,2021-06
Centro-oeste,2021-12,4.0,1,2021-06
Centro-oeste,2021-12,2.0,2,2021-06
Sul,2021-12,1.0,10,2021-06
Centro-oeste,2021-12,1.0,62,2021-06
Centro-oeste,2022-01,4.0,2,2022-06
Norte,2022-01,2.0,10,2022-06
Sul,2022-01,1.0,34,2022-06
Sul,2022-01,Sem informacao,715,2022-06
Centro-oeste,2022-01,1.0,65,2022-06
Centro-oeste,2022-01,2.0,3,2022-06
Centro-oeste,2022-01,Sem informacao,22674,2022-06
Norte,2022-01,1.0,378,2022-06
Norte,2022-01,Sem informacao,6677,2022-06
Nordeste,2022-01,1.0,7,2022-06
Nordeste,2022-01,2.0,9,2022-06
Nordeste,2022-01,Sem informacao,3456,2022-06
Sudeste,2022-01,1.0,46,2022-06
Sudeste,2022-01,2.0,2,2022-06
Sudeste,2022-01,Sem informacao,9434,2022-06
Centro-oeste,2022-02,2.0,7,2022-06
Centro-oeste,2022-02,1.0,187,2022-06
Centro-oeste,2022-02,Sem informacao,36364,2022-06
Nordeste,2022-02,1.0,35,2022-06
Nordeste,2022-02,2.0,39,2022-06
Nordeste,2022-02,Sem informacao,7749,2022-06
Centro-oeste,2022-02,4.0,3,2022-06
Sudeste,2022-02,2.0,33,2022-06
Sudeste,2022-02,Sem informacao,17585,2022-06
Norte,2022-02,1.0,364,2022-06
Norte,2022-02,2.0,30,2022-06
Norte,2022-02,Sem informacao,6565,2022-06
Sul,2022-02,Sem informacao,3768,2022-06
Sul,2022-02,2.0,4,2022-06
Sul,2022-02,1.0,174,2022-06
Sudeste,2022-02,1.0,226,2022-06
Centro-oeste,2022-03,1.0,375,2022-06
Sul,2022-03,Sem informacao,60636,2022-06
Sudeste,2022-03,Sem informacao,73893,2022-06
Sudeste,2022-03,2.0,132,2022-06
Sudeste,2022-03,1.0,635,2022-06
Centro-oeste,2022-03,Sem informacao,64253,2022-06
Centro-oeste,2022-03,2.0,5,2022-06
Nordeste,2022-03,2.0,72,2022-06
Norte,2022-03,1.0,318,2022-06
Norte,2022-03,2.0,8,2022-06
Norte,2022-03,Sem informacao,6674,2022-06
Nordeste,2022-03,Sem informacao,20356,2022-06
Nordeste,2022-03,1.0,95,2022-06
Sul,2022-03,1.0,2226,2022-06
Sul,2022-03,2.0,63,2022-06
Nordeste,2022-03,3.0,1,2022-06
Nordeste,2022-04,1.0,124,2022-06
Nordeste,2022-04,2.0,172,2022-06
Sudeste,2022-04,1.0,721,2022-06
Nordeste,2022-04,Sem informacao,38528,2022-06
Sudeste,2022-04,2.0,184,2022-06
Sul,2022-04,2.0,307,2022-06
Sul,2022-04,Sem informacao,116332,2022-06
Sudeste,2022-04,Sem informacao,135998,2022-06
Sul,2022-04,4.0,2,2022-06
Centro-oeste,2022-04,Sem informacao,73921,2022-06
Centro-oeste,2022-04,4.0,1,2022-06
Centro-oeste,2022-04,2.0,3,2022-06
Centro-oeste,2022-04,1.0,879,2022-06
Norte,2022-04,1.0,196,2022-06
Norte,2022-04,2.0,9,2022-06
Norte,2022-04,Sem informacao,6692,2022-06
Sul,2022-04,3.0,1,2022-06
Sudeste,2022-04,4.0,1,2022-06
Sul,2022-04,1.0,3558,2022-06
Nordeste,2022-05,1.0,202,2022-06
Nordeste,2022-05,2.0,280,2022-06
Nordeste,2022-05,3.0,2,2022-06
Nordeste,2022-05,Sem informacao,55397,2022-06
Centro-oeste,2022-05,Sem informacao,58638,2022-06
Sul,2022-05,4.0,2,2022-06
Sudeste,2022-05,Sem informacao,125291,2022-06
Sudeste,2022-05,2.0,190,2022-06
Sudeste,2022-05,1.0,878,2022-06
Sul,2022-05,2.0,107,2022-06
Centro-oeste,2022-05,1.0,790,2022-06
Centro-oeste,2022-05,2.0,2,2022-06
Sul,2022-05,1.0,1626,2022-06
Norte,2022-05,Sem informacao,5922,2022-06
Norte,2022-05,1.0,114,2022-06
Norte,2022-05,2.0,9,2022-06
Sul,2022-05,Sem informacao,88866,2022-06
Sul,2022-06,2.0,7,2022-06
Sul,2022-06,Sem informacao,18307,2022-06
Norte,2022-06,Sem informacao,3275,2022-06
Norte,2022-06,2.0,1,2022-06
Sul,2022-06,1.0,172,2022-06
Sudeste,2022-06,2.0,68,2022-06
Sudeste,2022-06,1.0,316,2022-06
Nordeste,2022-06,1.0,151,2022-06
Centro-oeste,2022-06,1.0,245,2022-06
Centro-oeste,2022-06,2.0,3,2022-06
Centro-oeste,2022-06,Sem informacao,24313,2022-06
Nordeste,2022-06,2.0,236,2022-06
Nordeste,2022-06,4.0,1,2022-06
Nordeste,2022-06,Sem informacao,45340,2022-06
Sudeste,2022-06,Sem informacao,37125,2022-06
Norte,2022-06,1.0,61,2022-06
Norte,2022-07,Sem informacao,2009,2022-06
Norte,2022-07,2.0,11,2022-06
Norte,2022-07,1.0,36,2022-06
Sudeste,2022-07,Sem informacao,14570,2022-06
Nordeste,2022-07,1.0,78,2022-06
Nordeste,2022-07,2.0,151,2022-06
Nordeste,2022-07,Sem informacao,27858,2022-06
Sul,2022-07,2.0,3,2022-06
Sul,2022-07,1.0,32,2022-06
Sudeste,2022-07,2.0,42,2022-06
Sudeste,2022-07,1.0,155,2022-06
Nordeste,2022-07,4.0,1,2022-06
Centro-oeste,2022-07,1.0,89,2022-06
Centro-oeste,2022-07,2.0,2,2022-06
Centro-oeste,2022-07,Sem informacao,12262,2022-06
Sul,2022-07,Sem informacao,5829,2022-06
Nordeste,2022-08,1.0,66,2022-06
Norte,2022-08,1.0,25,2022-06
Nordeste,2022-08,Sem informacao,19255,2022-06
Nordeste,2022-08,4.0,2,2022-06
Nordeste,2022-08,2.0,100,2022-06
Sudeste,2022-08,1.0,88,2022-06
Norte,2022-08,2.0,21,2022-06
Sul,2022-08,Sem informacao,1963,2022-06
Sul,2022-08,1.0,33,2022-06
Norte,2022-08,Sem informacao,1310,2022-06
Centro-oeste,2022-08,1.0,72,2022-06
Centro-oeste,2022-08,Sem informacao,9225,2022-06
Sudeste,2022-08,Sem informacao,8007,2022-06
Sudeste,2022-08,2.0,10,2022-06
Sul,2022-09,Sem informacao,922,2022-06
Sul,2022-09,1.0,5,2022-06
Centro-oeste,2022-09,1.0,67,2022-06
Centro-oeste,2022-09,Sem informacao,7961,2022-06
Sudeste,2022-09,Sem informacao,4688,2022-06
Sudeste,2022-09,1.0,52,2022-06
Sudeste,2022-09,2.0,1,2022-06
Norte,2022-09,1.0,23,2022-06
Norte,2022-09,2.0,9,2022-06
Nordeste,2022-09,1.0,38,2022-06
Nordeste,2022-09,2.0,15,2022-06
Nordeste,2022-09,4.0,1,2022-06
Norte,2022-09,Sem informacao,1272,2022-06
Nordeste,2022-09,Sem informacao,9669,2022-06
Centro-oeste,2022-10,Sem informacao,7153,2022-06
Nordeste,2022-10,1.0,20,2022-06
Nordeste,2022-10,2.0,15,2022-06
Nordeste,2022-10,Sem informacao,5430,2022-06
Centro-oeste,2022-10,1.0,266,2022-06
Centro-oeste,2022-10,4.0,1,2022-06
Sul,2022-10,Sem informacao,774,2022-06
Sudeste,2022-10,Sem informacao,5004,2022-06
Sudeste,2022-10,2.0,4,2022-06
Sudeste,2022-10,1.0,24,2022-06
Sul,2022-10,1.0,11,2022-06
Norte,2022-10,1.0,59,2022-06
Norte,2022-10,2.0,4,2022-06
Norte,2022-10,Sem informacao,1883,2022-06
Sudeste,2022-11,Sem informacao,6100,2022-06
Sudeste,2022-11,2.0,4,2022-06
Sudeste,2022-11,1.0,23,2022-06
Norte,2022-11,Sem informacao,2477,2022-06
Norte,2022-11,1.0,35,2022-06
Norte,2022-11,2.0,23,2022-06
Sul,2022-11,Sem informacao,893,2022-06
Sul,2022-11,1.0,21,2022-06
Centro-oeste,2022-11,Sem informacao,8870,2022-06
Centro-oeste,2022-11,4.0,1,2022-06
Nordeste,2022-11,1.0,22,2022-06
Nordeste,2022-11,2.0,19,2022-06
Nordeste,2022-11,Sem informacao,4612,2022-06
Centro-oeste,2022-11,2.0,1,2022-06
Centro-oeste,2022-11,1.0,839,2022-06
Centro-oeste,2022-12,2.0,2,2022-06
Centro-oeste,2022-12,1.0,657,2022-06
Sudeste,2022-12,1.0,81,2022-06
Norte,2022-12,2.0,16,2022-06
Sudeste,2022-12,2.0,13,2022-06
Norte,2022-12,1.0,29,2022-06
Nordeste,2022-12,Sem informacao,3560,2022-06
Nordeste,2022-12,2.0,12,2022-06
Nordeste,2022-12,1.0,20,2022-06
Centro-oeste,2022-12,Sem informacao,11138,2022-06
Norte,2022-12,Sem informacao,3911,2022-06
Sul,2022-12,Sem informacao,1335,2022-06
Sul,2022-12,1.0,24,2022-06
Sudeste,2022-12,Sem informacao,9785,2022-06
Norte,2022-12,4.0,1,2022-06
Centro-oeste,2023-01,Sem informacao,12812,2023-06
Nordeste,2023-01,1.0,33,2023-06
Centro-oeste,2023-01,1.0,710,2023-06
Norte,2023-01,1.0,94,2023-06
Norte,2023-01,2.0,79,2023-06
Centro-oeste,2023-01,2.0,5,2023-06
Norte,2023-01,Sem informacao,5145,2023-06
Nordeste,2023-01,2.0,34,2023-06
Nordeste,2023-01,Sem informacao,5976,2023-06
Sudeste,2023-01,1.0,344,2023-06
Sudeste,2023-01,2.0,45,2023-06
Sudeste,2023-01,Sem informacao,28847,2023-06
Sul,2023-01,Sem informacao,2373,2023-06
Sul,2023-01,2.0,4,2023-06
Sul,2023-01,1.0,84,2023-06
Norte,2023-01,3.0,1,2023-06
Nordeste,2023-02,1.0,109,2023-06
Nordeste,2023-02,Sem informacao,8986,2023-06
Sul,2023-02,Sem informacao,9590,2023-06
Sul,2023-02,2.0,8,2023-06
Sul,2023-02,1.0,291,2023-06
Nordeste,2023-02,2.0,43,2023-06
Norte,2023-02,Sem informacao,5266,2023-06
Norte,2023-02,2.0,117,2023-06
Centro-oeste,2023-02,1.0,1065,2023-06
Centro-oeste,2023-02,2.0,4,2023-06
Centro-oeste,2023-02,4.0,1,2023-06
Centro-oeste,2023-02,Sem informacao,19431,2023-06
Sudeste,2023-02,Sem informacao,77123,2023-06
Sudeste,2023-02,2.0,87,2023-06
Sudeste,2023-02,1.0,951,2023-06
Sudeste,2023-02,4.0,1,2023-06
Norte,2023-02,4.0,1,2023-06
Norte,2023-02,3.0,1,2023-06
Norte,2023-02,1.0,113,2023-06
Sul,2023-03,1.0,1397,2023-06
Sudeste,2023-03,2.0,222,2023-06
Sul,2023-03,2.0,21,2023-06
Sudeste,2023-03,1.0,2507,2023-06
Nordeste,2023-03,Sem informacao,14678,2023-06
Sul,2023-03,3.0,1,2023-06
Sul,2023-03,Sem informacao,59303,2023-06
Nordeste,2023-03,2.0,82,2023-06
Nordeste,2023-03,1.0,153,2023-06
Sudeste,2023-03,4.0,3,2023-06
Sudeste,2023-03,Sem informacao,179917,2023-06
Centro-oeste,2023-03,4.0,1,2023-06
Norte,2023-03,1.0,151,2023-06
Centro-oeste,2023-03,1.0,2040,2023-06
Norte,2023-03,2.0,102,2023-06
Norte,2023-03,3.0,4,2023-06
Norte,2023-03,Sem informacao,5572,2023-06
Centro-oeste,2023-03,2.0,27,2023-06
Centro-oeste,2023-03,Sem informacao,29974,2023-06
Sul,2023-04,1.0,3556,2023-06
Centro-oeste,2023-04,2.0,72,2023-06
Centro-oeste,2023-04,1.0,1777,2023-06
Sudeste,2023-04,1.0,3780,2023-06
Nordeste,2023-04,Sem informacao,14737,2023-06
Nordeste,2023-04,4.0,1,2023-06
Nordeste,2023-04,2.0,55,2023-06
